surname,name,term,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,weights,wordcount
adams,paul,47,0.0515140796,0.0362262252,0.0233043058,0.0488119101,0.0180188119,0.0210827807,0.04377881,0.023262946,0.0301420233,0.0497992044,0.0197087778,0.0280075169,0.0121781181,0.006354171,0.0532167918,0.0483218952,0.022174698,0.0457629404,0.020814778,0.0261272909,0.0129146846,0.0336039925,0.0585423423,0.0261874094,0.0337844331,0.0133683278,0.0670657033,0.0312398848,0.0136908677,0.0809943334,0.001628026,73845
alexander,marc,47,0.0437606597,0.0320654864,0.0286227121,0.0277670049,0.0220926006,0.0459996984,0.0511524926,0.0195935143,0.0152582355,0.0304331365,0.0286645128,0.0159465216,0.0107555739,0.007660077,0.0249953338,0.0799102236,0.1685837591,0.0413065538,0.0265790196,0.0210430305,0.0101307317,0.0300152183,0.0488999849,0.0361601139,0.025715365,0.0192683928,0.0222289951,0.0197177939,0.0231668498,0.0225064321,0.0020857119,94605
anderton,jim,47,0.0469237903,0.0183530022,0.0213327337,0.0138906097,0.0480128829,0.0144610719,0.0291670582,0.0940104939,0.1277999497,0.0368841782,0.023186344,0.042057083,0.0146759024,0.0067556206,0.0528692001,0.0246935941,0.023091051,0.0611644018,0.0219656915,0.0126707312,0.0100261798,0.0426168063,0.0425802103,0.0142048528,0.0238625067,0.0196670928,0.029799631,0.0209015003,0.0359281893,0.0264473503,0.0006658273,30201
ardern,shane,47,0.02507632,0.0794724229,0.017029839,0.0195450082,0.0332124314,0.017717823,0.0204310609,0.0587821063,0.0282801146,0.0148149173,0.0201070305,0.0832448948,0.0678298613,0.0133775351,0.0308919928,0.0470090378,0.0178300057,0.0281239859,0.0201078911,0.0273300881,0.0120148514,0.0246422318,0.0876920383,0.0506054372,0.0290007327,0.0201720796,0.0214886757,0.0138481367,0.0511628535,0.0191585031,0.0020249517,91849
awatere,huata,47,0.0137262448,0.0211353841,0.0245434375,0.0177177231,0.0240834556,0.0584357167,0.0232868775,0.0648473352,0.0182887445,0.0100424316,0.2682587728,0.0106668579,0.0116217702,0.0500316005,0.0369166496,0.0306508773,0.0105643242,0.0133679714,0.013264722,0.0156683089,0.01326097,0.043601024,0.0619486188,0.0165815051,0.0243379267,0.0150634787,0.0120152655,0.0086383063,0.0557196459,0.0117142936,0.0002097286,9513
baldock,larry,47,0.0396148518,0.0717072752,0.0212509963,0.0209401613,0.0185264592,0.0228097009,0.0660740405,0.0220633552,0.021877233,0.0248430652,0.0116063789,0.046331207,0.0939217945,0.0090487172,0.0268507822,0.057907469,0.0232279666,0.0725897035,0.0328465963,0.0155584893,0.0104746447,0.0368831374,0.0286083457,0.0386090271,0.0200948223,0.0158827411,0.066981779,0.0167862999,0.0281805034,0.0179025409,0.0025620934,116213
barker,rick,47,0.0355564075,0.0333638534,0.0739094642,0.0299333326,0.0239808963,0.0428156709,0.1002099219,0.0826549421,0.0271979494,0.026791742,0.0181638012,0.0286333127,0.01756571,0.0075144613,0.0212518974,0.0220599119,0.0592629989,0.035948221,0.0155579005,0.0126261529,0.0088208772,0.0279285186,0.0329392669,0.0509319364,0.0584386786,0.0151044617,0.0148435226,0.0209140498,0.020846758,0.0342333494,0.0015489451,70258
barnett,tim,47,0.0296713056,0.0603806384,0.065282698,0.0134846135,0.0305781405,0.0218462388,0.060009125,0.0289447715,0.0262646858,0.0409815755,0.0192414075,0.0168081284,0.0102869052,0.0079035428,0.0492270929,0.0387039291,0.0873612793,0.0665444742,0.0449593324,0.0204255476,0.0234275066,0.0357976946,0.0152562325,0.0297124187,0.0297480635,0.0305540757,0.0158849949,0.0111012037,0.0405398022,0.0290724587,0.0006726396,30510
bennett,paula,47,0.0107843135,0.0078431372,0.0225490193,0.0049019609,0.0196078438,0.0078431372,0.0049019609,0.134313725,0.0078431372,0.1137254933,0.0460784324,0.0078431372,0.0166666668,0.0078431372,0.0078431372,0.0343137244,0.0254901978,0.0049019609,0.0137254898,0.0284313733,0.0372551033,0.0078431372,0.1607843136,0.0166666668,0.0078431372,0.0078431372,0.0049019609,0.0049019609,0.1931372593,0.0313725489,1.90041082533E-05,862
benson,pope,47,0.0300498457,0.0356626393,0.0414157751,0.014118884,0.0271258097,0.0324074458,0.080326364,0.0799179287,0.0313075642,0.0222186342,0.0448360171,0.0217782326,0.0552213234,0.0162142974,0.0264229002,0.0338775411,0.0127119448,0.0135341326,0.0267287012,0.0106257549,0.0114394294,0.0377000513,0.0310458768,0.02335157,0.09703259,0.0284116981,0.0144145338,0.0153634924,0.0688445956,0.0158943672,0.0009490149,43046
